"Year","Month","CircadianDayOfWeek","RandomWeekID","to_AgencyName","from_AgencyName","sampled_transfers","from_Agency_Sampled_Transactions","to_Agency_Sampled_Transactions","estimated_transfers","estimated_from_agency_transactions","estimated_to_agency_transactions"
2013,3,3,6,"AC Transit","AC Transit",3897,26058,26058,7794,52116,52116
2013,3,3,6,"BART","AC Transit",1806,26058,104023,3612,52116,208046
2013,3,3,6,"Caltrain","AC Transit",3,26058,4122,6,52116,8244
2013,3,3,6,"Golden Gate Transit","AC Transit",6,26058,4867,12,52116,9734
2013,3,3,6,"SF Muni","AC Transit",169,26058,161346,338,52116,322692
2013,3,3,6,"SamTrans","AC Transit",4,26058,7661,8,52116,15322
2013,3,3,6,"VTA","AC Transit",23,26058,19108,46,52116,38216
2013,3,3,6,"AC Transit","BART",1798,104023,26058,3596,208046,52116
2013,3,3,6,"BART","BART",441,104023,104023,882,208046,208046
2013,3,3,6,"Caltrain","BART",228,104023,4122,456,208046,8244
2013,3,3,6,"Golden Gate Ferry","BART",46,104023,3757,92,208046,7514
2013,3,3,6,"Golden Gate Transit","BART",71,104023,4867,142,208046,9734
2013,3,3,6,"SF Muni","BART",6871,104023,161346,13742,208046,322692
2013,3,3,6,"SamTrans","BART",347,104023,7661,694,208046,15322
2013,3,3,6,"VTA","BART",77,104023,19108,154,208046,38216
2013,3,3,6,"WETA","BART",10,104023,541,20,208046,1082
2013,3,3,6,"AC Transit","Caltrain",1,4122,26058,2,8244,52116
2013,3,3,6,"BART","Caltrain",240,4122,104023,480,8244,208046
2013,3,3,6,"Golden Gate Transit","Caltrain",3,4122,4867,6,8244,9734
2013,3,3,6,"SF Muni","Caltrain",305,4122,161346,610,8244,322692
2013,3,3,6,"SamTrans","Caltrain",22,4122,7661,44,8244,15322
2013,3,3,6,"VTA","Caltrain",82,4122,19108,164,8244,38216
2013,3,3,6,"WETA","Caltrain",1,4122,541,2,8244,1082
2013,3,3,6,"BART","Golden Gate Ferry",10,3757,104023,20,7514,208046
2013,3,3,6,"Caltrain","Golden Gate Ferry",1,3757,4122,2,7514,8244
2013,3,3,6,"Golden Gate Ferry","Golden Gate Ferry",10,3757,3757,20,7514,7514
2013,3,3,6,"Golden Gate Transit","Golden Gate Ferry",2,3757,4867,4,7514,9734
2013,3,3,6,"SF Muni","Golden Gate Ferry",94,3757,161346,188,7514,322692
2013,3,3,6,"AC Transit","Golden Gate Transit",7,4867,26058,14,9734,52116
2013,3,3,6,"BART","Golden Gate Transit",61,4867,104023,122,9734,208046
2013,3,3,6,"Caltrain","Golden Gate Transit",3,4867,4122,6,9734,8244
2013,3,3,6,"Golden Gate Ferry","Golden Gate Transit",1,4867,3757,2,9734,7514
2013,3,3,6,"Golden Gate Transit","Golden Gate Transit",307,4867,4867,614,9734,9734
2013,3,3,6,"SF Muni","Golden Gate Transit",90,4867,161346,180,9734,322692
2013,3,3,6,"AC Transit","SF Muni",212,161346,26058,424,322692,52116
2013,3,3,6,"BART","SF Muni",6959,161346,104023,13918,322692,208046
2013,3,3,6,"Caltrain","SF Muni",320,161346,4122,640,322692,8244
2013,3,3,6,"Golden Gate Ferry","SF Muni",58,161346,3757,116,322692,7514
2013,3,3,6,"Golden Gate Transit","SF Muni",80,161346,4867,160,322692,9734
2013,3,3,6,"SF Muni","SF Muni",32851,161346,161346,65702,322692,322692
2013,3,3,6,"SamTrans","SF Muni",113,161346,7661,226,322692,15322
2013,3,3,6,"WETA","SF Muni",30,161346,541,60,322692,1082
2013,3,3,6,"AC Transit","SamTrans",7,7661,26058,14,15322,52116
2013,3,3,6,"BART","SamTrans",326,7661,104023,652,15322,208046
2013,3,3,6,"Caltrain","SamTrans",20,7661,4122,40,15322,8244
2013,3,3,6,"SF Muni","SamTrans",127,7661,161346,254,15322,322692
2013,3,3,6,"SamTrans","SamTrans",1014,7661,7661,2028,15322,15322
2013,3,3,6,"VTA","SamTrans",21,7661,19108,42,15322,38216
2013,3,3,6,"AC Transit","VTA",30,19108,26058,60,38216,52116
2013,3,3,6,"BART","VTA",61,19108,104023,122,38216,208046
2013,3,3,6,"Caltrain","VTA",72,19108,4122,144,38216,8244
2013,3,3,6,"SamTrans","VTA",18,19108,7661,36,38216,15322
2013,3,3,6,"VTA","VTA",5092,19108,19108,10184,38216,38216
2013,3,3,6,"AC Transit","WETA",1,541,26058,2,1082,52116
2013,3,3,6,"BART","WETA",7,541,104023,14,1082,208046
2013,3,3,6,"Caltrain","WETA",1,541,4122,2,1082,8244
2013,3,3,6,"SF Muni","WETA",38,541,161346,76,1082,322692
2013,3,3,7,"AC Transit","AC Transit",4676,30513,30513,9352,61026,61026
2013,3,3,7,"BART","AC Transit",1983,30513,111535,3966,61026,223070
2013,3,3,7,"Caltrain","AC Transit",6,30513,4190,12,61026,8380
2013,3,3,7,"Golden Gate Transit","AC Transit",11,30513,4850,22,61026,9700
2013,3,3,7,"SF Muni","AC Transit",142,30513,176486,284,61026,352972
2013,3,3,7,"SamTrans","AC Transit",1,30513,8040,2,61026,16080
2013,3,3,7,"VTA","AC Transit",24,30513,19546,48,61026,39092
2013,3,3,7,"AC Transit","BART",2126,111535,30513,4252,223070,61026
2013,3,3,7,"BART","BART",577,111535,111535,1154,223070,223070
2013,3,3,7,"Caltrain","BART",262,111535,4190,524,223070,8380
2013,3,3,7,"Golden Gate Ferry","BART",42,111535,3337,84,223070,6674
2013,3,3,7,"Golden Gate Transit","BART",62,111535,4850,124,223070,9700
2013,3,3,7,"SF Muni","BART",8158,111535,176486,16316,223070,352972
2013,3,3,7,"SamTrans","BART",336,111535,8040,672,223070,16080
2013,3,3,7,"VTA","BART",80,111535,19546,160,223070,39092
2013,3,3,7,"WETA","BART",6,111535,573,12,223070,1146
2013,3,3,7,"AC Transit","Caltrain",3,4190,30513,6,8380,61026
2013,3,3,7,"BART","Caltrain",248,4190,111535,496,8380,223070
2013,3,3,7,"Golden Gate Ferry","Caltrain",2,4190,3337,4,8380,6674
2013,3,3,7,"Golden Gate Transit","Caltrain",1,4190,4850,2,8380,9700
2013,3,3,7,"SF Muni","Caltrain",282,4190,176486,564,8380,352972
2013,3,3,7,"SamTrans","Caltrain",30,4190,8040,60,8380,16080
2013,3,3,7,"VTA","Caltrain",77,4190,19546,154,8380,39092
2013,3,3,7,"BART","Golden Gate Ferry",9,3337,111535,18,6674,223070
2013,3,3,7,"Caltrain","Golden Gate Ferry",1,3337,4190,2,6674,8380
2013,3,3,7,"Golden Gate Ferry","Golden Gate Ferry",3,3337,3337,6,6674,6674
2013,3,3,7,"Golden Gate Transit","Golden Gate Ferry",4,3337,4850,8,6674,9700
2013,3,3,7,"SF Muni","Golden Gate Ferry",83,3337,176486,166,6674,352972
2013,3,3,7,"AC Transit","Golden Gate Transit",7,4850,30513,14,9700,61026
2013,3,3,7,"BART","Golden Gate Transit",70,4850,111535,140,9700,223070
2013,3,3,7,"Caltrain","Golden Gate Transit",1,4850,4190,2,9700,8380
2013,3,3,7,"Golden Gate Ferry","Golden Gate Transit",1,4850,3337,2,9700,6674
2013,3,3,7,"Golden Gate Transit","Golden Gate Transit",327,4850,4850,654,9700,9700
2013,3,3,7,"SF Muni","Golden Gate Transit",113,4850,176486,226,9700,352972
2013,3,3,7,"SamTrans","Golden Gate Transit",1,4850,8040,2,9700,16080
2013,3,3,7,"AC Transit","SF Muni",199,176486,30513,398,352972,61026
2013,3,3,7,"BART","SF Muni",7643,176486,111535,15286,352972,223070
2013,3,3,7,"Caltrain","SF Muni",273,176486,4190,546,352972,8380
2013,3,3,7,"Golden Gate Ferry","SF Muni",82,176486,3337,164,352972,6674
2013,3,3,7,"Golden Gate Transit","SF Muni",79,176486,4850,158,352972,9700
2013,3,3,7,"SF Muni","SF Muni",36364,176486,176486,72728,352972,352972
2013,3,3,7,"SamTrans","SF Muni",123,176486,8040,246,352972,16080
2013,3,3,7,"WETA","SF Muni",41,176486,573,82,352972,1146
2013,3,3,7,"AC Transit","SamTrans",3,8040,30513,6,16080,61026
2013,3,3,7,"BART","SamTrans",350,8040,111535,700,16080,223070
2013,3,3,7,"Caltrain","SamTrans",25,8040,4190,50,16080,8380
2013,3,3,7,"SF Muni","SamTrans",128,8040,176486,256,16080,352972
2013,3,3,7,"SamTrans","SamTrans",1061,8040,8040,2122,16080,16080
2013,3,3,7,"VTA","SamTrans",23,8040,19546,46,16080,39092
2013,3,3,7,"AC Transit","VTA",29,19546,30513,58,39092,61026
2013,3,3,7,"BART","VTA",75,19546,111535,150,39092,223070
2013,3,3,7,"Caltrain","VTA",82,19546,4190,164,39092,8380
2013,3,3,7,"SamTrans","VTA",15,19546,8040,30,39092,16080
2013,3,3,7,"VTA","VTA",5423,19546,19546,10846,39092,39092
2013,3,3,7,"BART","WETA",3,573,111535,6,1146,223070
2013,3,3,7,"Caltrain","WETA",2,573,4190,4,1146,8380
